Funktionsname,Component,Components
GMImage.GetLabel,GraphicsMagick,GraphicsMagick
GMImage.GetLineWidth,GraphicsMagick,GraphicsMagick
GMImage.GetMagick,GraphicsMagick,GraphicsMagick
GMImage.GetMatte,GraphicsMagick,GraphicsMagick
GMImage.GetMatteColor,GraphicsMagick,GraphicsMagick
GMImage.GetModulusDepth,GraphicsMagick,GraphicsMagick
GMImage.GetMonochrome,GraphicsMagick,GraphicsMagick
GMImage.GetOrientation,GraphicsMagick,GraphicsMagick
GMImage.GetPNGAsBase64,GraphicsMagick,GraphicsMagick
GMImage.GetPNGAsHex,GraphicsMagick,GraphicsMagick
GMImage.GetPage,GraphicsMagick,GraphicsMagick
GMImage.GetPixelColor,GraphicsMagick,GraphicsMagick
GMImage.GetProfile,GraphicsMagick,GraphicsMagick
GMImage.GetQuality,GraphicsMagick,GraphicsMagick
GMImage.GetQuantizeColorSpace,GraphicsMagick,GraphicsMagick
GMImage.GetQuantizeColors,GraphicsMagick,GraphicsMagick
GMImage.GetQuantizeDither,GraphicsMagick,GraphicsMagick
GMImage.GetQuantizeTreeDepth,GraphicsMagick,GraphicsMagick
GMImage.GetQuiet,GraphicsMagick,GraphicsMagick
GMImage.GetRenderingIntent,GraphicsMagick,GraphicsMagick
GMImage.GetResolutionUnits,GraphicsMagick,GraphicsMagick
GMImage.GetScene,GraphicsMagick,GraphicsMagick
GMImage.GetSize,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeAntiAlias,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeColor,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeDashArray,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeDashOffset,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeLineCap,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeLineJoin,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeMiterLimit,GraphicsMagick,GraphicsMagick
GMImage.GetStrokeWidth,GraphicsMagick,GraphicsMagick
GMImage.GetSubImage,GraphicsMagick,GraphicsMagick
GMImage.GetSubRange,GraphicsMagick,GraphicsMagick
GMImage.GetTextEncoding,GraphicsMagick,GraphicsMagick
GMImage.GetTileName,GraphicsMagick,GraphicsMagick
GMImage.GetType,GraphicsMagick,GraphicsMagick
GMImage.GetVerbose,GraphicsMagick,GraphicsMagick
GMImage.GetView,GraphicsMagick,GraphicsMagick
GMImage.GetWidth,GraphicsMagick,GraphicsMagick
GMImage.GetXMP,GraphicsMagick,GraphicsMagick
GMImage.GetZPL,GraphicsMagick,GraphicsMagick
GMImage.GetColorMap,GraphicsMagick,GraphicsMagick
GMImage.Hash,GraphicsMagick,GraphicsMagick
GMImage.ImageCount,GraphicsMagick,GraphicsMagick
GMImage.Implode,GraphicsMagick,GraphicsMagick
GMImage.InvertChannel,GraphicsMagick,GraphicsMagick
GMImage.IsGray,GraphicsMagick,GraphicsMagick
GMImage.IsLoggingEnabled,GraphicsMagick,GraphicsMagick
GMImage.Level,GraphicsMagick,GraphicsMagick
GMImage.LevelChannel,GraphicsMagick,GraphicsMagick
GMImage.List,GraphicsMagick,GraphicsMagick
GMImage.ListTypeInfo,GraphicsMagick,GraphicsMagick
GMImage.MagickVersion,GraphicsMagick,GraphicsMagick
GMImage.Magnify,GraphicsMagick,GraphicsMagick
GMImage.Map,GraphicsMagick,GraphicsMagick
GMImage.MatteFloodfill,GraphicsMagick,GraphicsMagick
GMImage.MeanErrorPerPixel,GraphicsMagick,GraphicsMagick
GMImage.MedianFilter,GraphicsMagick,GraphicsMagick
GMImage.Minify,GraphicsMagick,GraphicsMagick
GMImage.Modulate,GraphicsMagick,GraphicsMagick
GMImage.MontageGeometry,GraphicsMagick,GraphicsMagick
GMImage.MotionBlur,GraphicsMagick,GraphicsMagick
GMImage.MultiplyChannel,GraphicsMagick,GraphicsMagick
GMImage.Negate,GraphicsMagick,GraphicsMagick
GMImage.New,GraphicsMagick,GraphicsMagick
GMImage.NewFromBase64,GraphicsMagick,GraphicsMagick
GMImage.NewFromContainer,GraphicsMagick,GraphicsMagick
GMImage.NewFromFile,GraphicsMagick,GraphicsMagick
GMImage.NewFromHex,GraphicsMagick,GraphicsMagick
GMImage.NewImagesFromContainer,GraphicsMagick,GraphicsMagick
GMImage.NewImagesFromFile,GraphicsMagick,GraphicsMagick
GMImage.Normalize,GraphicsMagick,GraphicsMagick
GMImage.NormalizedMaxError,GraphicsMagick,GraphicsMagick
GMImage.NormalizedMeanError,GraphicsMagick,GraphicsMagick
GMImage.OilPaint,GraphicsMagick,GraphicsMagick
GMImage.Opacity,GraphicsMagick,GraphicsMagick
GMImage.Opaque,GraphicsMagick,GraphicsMagick
GMImage.Ping,GraphicsMagick,GraphicsMagick
GMImage.PingContainer,GraphicsMagick,GraphicsMagick
GMImage.PopClipPath,GraphicsMagick,GraphicsMagick
GMImage.Profiles,GraphicsMagick,GraphicsMagick
GMImage.PurgeTemporaryFiles,GraphicsMagick,GraphicsMagick
GMImage.PushClipPath,GraphicsMagick,GraphicsMagick
GMImage.Quantize,GraphicsMagick,GraphicsMagick
